[Tue May 12 12:47:08 2020] [notice] Apache/2.2.21 (Win32) PHP/5.3.9 configured -- resuming normal operations
[Tue May 12 12:47:08 2020] [notice] Server built: Sep 10 2011 11:34:11
[Tue May 12 12:47:08 2020] [notice] Parent: Created child process 13080
[Tue May 12 12:47:08 2020] [notice] Child 13080: Child process is running
[Tue May 12 12:47:08 2020] [notice] Child 13080: Acquired the start mutex.
[Tue May 12 12:47:08 2020] [notice] Child 13080: Starting 64 worker threads.
[Tue May 12 12:47:08 2020] [notice] Child 13080: Starting thread to listen on port 8080.
[Tue May 12 12:47:08 2020] [notice] Child 13080: Starting thread to listen on port 8080.
[Tue May 12 13:11:24 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:11:32 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:12:14 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:12:33 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:12:56 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:13:12 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:14:08 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:16:24 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:18:15 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:29:18 2020] [error] [client ::1] script 'C:/Users/SF12605P/nieemer/root/admin/delete.php' not found or unable to stat, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:29:37 2020] [error] [client ::1] script 'C:/Users/SF12605P/nieemer/root/admin/delete.php' not found or unable to stat, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:31:04 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:37:03 2020] [error] [client ::1] PHP Fatal error:  Call to undefined function confirm() in C:\\Users\\SF12605P\\nieemer\\root\\php\\delete.php on line 18, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:43:12 2020] [error] [client ::1] PHP Parse error:  syntax error, unexpected T_RETURN, expecting ',' or ';' in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 51, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:49:53 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:49:59 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:50:09 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:50:21 2020] [error] [client ::1] PHP Notice:  Undefined variable: url in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 34, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:55:29 2020] [error] [client ::1] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 57, referer: http://localhost:8080/admin/menu.php
[Tue May 12 13:55:49 2020] [error] [client ::1] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE, expecting T_STRING or T_VARIABLE or T_NUM_STRING in C:\\Users\\SF12605P\\nieemer\\root\\php\\admin.php on line 57, referer: http://localhost:8080/admin/menu.php
